/*********************************************
 * OPL 22.1.1.0 Data
 * Author: hathouti
 * Creation Date: 21 nov. 2025 at 21:07:40
 *********************************************/

 
 
 /***** tspssb_bays29.dat *****/

/* Instance: bays29 */
/* Distance optimale connue: 2020 */

/* Nombre de villes */
n = 29;

/* Matrice des distances (distances routières en km) */
d = [
  [0, 107, 241, 190, 124, 80, 316, 76, 152, 157, 283, 133, 113, 297, 228, 129, 348, 276, 188, 150, 65, 341, 184, 67, 221, 169, 108, 45, 167],
  [107, 0, 148, 137, 88, 127, 336, 183, 134, 95, 254, 180, 101, 234, 175, 176, 265, 199, 182, 67, 42, 278, 271, 146, 251, 105, 191, 139, 79],
  [241, 148, 0, 374, 171, 259, 509, 317, 217, 232, 491, 312, 280, 391, 412, 349, 422, 356, 355, 204, 182, 435, 417, 292, 424, 116, 337, 273, 77],
  [190, 137, 374, 0, 202, 234, 222, 192, 248, 42, 117, 287, 79, 107, 38, 121, 152, 86, 68, 70, 137, 151, 239, 135, 137, 242, 165, 228, 205],
  [124, 88, 171, 202, 0, 61, 392, 202, 46, 160, 319, 112, 163, 322, 240, 232, 314, 287, 238, 155, 65, 366, 300, 175, 307, 57, 220, 121, 97],
  [80, 127, 259, 234, 61, 0, 386, 141, 72, 167, 351, 55, 157, 331, 272, 226, 362, 296, 232, 164, 85, 375, 249, 147, 301, 118, 188, 60, 185],
  [316, 336, 509, 222, 392, 386, 0, 233, 438, 254, 202, 439, 235, 254, 210, 187, 313, 266, 154, 282, 321, 298, 168, 249, 95, 437, 190, 314, 435],
  [76, 183, 317, 192, 202, 141, 233, 0, 213, 188, 309, 88, 144, 338, 263, 187, 394, 329, 240, 202, 111, 383, 216, 114, 257, 195, 124, 47, 232],
  [152, 134, 217, 248, 46, 72, 438, 213, 0, 206, 365, 89, 209, 368, 286, 278, 360, 333, 284, 201, 111, 412, 346, 221, 353, 72, 266, 168, 143],
  [157, 95, 232, 42, 160, 167, 254, 188, 206, 0, 159, 220, 57, 149, 80, 86, 193, 127, 100, 28, 95, 193, 241, 131, 169, 200, 161, 189, 163],
  [283, 254, 491, 117, 319, 351, 202, 309, 365, 159, 0, 404, 176, 74, 155, 42, 235, 168, 83, 186, 253, 162, 359, 275, 149, 379, 216, 329, 371],
  [133, 180, 312, 287, 112, 55, 439, 88, 89, 220, 404, 0, 202, 383, 317, 271, 407, 341, 277, 209, 140, 420, 294, 192, 346, 113, 233, 95, 230],
  [113, 101, 280, 79, 163, 157, 235, 144, 209, 57, 176, 202, 0, 182, 113, 93, 228, 162, 125, 36, 77, 225, 225, 115, 176, 208, 135, 154, 175],
  [297, 234, 391, 107, 322, 331, 254, 338, 368, 149, 74, 383, 182, 0, 145, 42, 169, 102, 71, 176, 233, 88, 337, 273, 179, 361, 244, 337, 369],
  [228, 175, 412, 38, 240, 272, 210, 263, 286, 80, 155, 317, 113, 145, 0, 128, 134, 68, 58, 97, 175, 117, 257, 173, 122, 279, 179, 249, 239],
  [129, 176, 349, 121, 232, 226, 187, 187, 278, 86, 42, 271, 93, 42, 128, 0, 193, 126, 53, 115, 167, 85, 299, 214, 138, 311, 169, 179, 264],
  [348, 265, 422, 152, 314, 362, 313, 394, 360, 193, 235, 407, 228, 169, 134, 193, 0, 66, 145, 220, 298, 77, 418, 334, 278, 379, 287, 377, 383],
  [276, 199, 356, 86, 287, 296, 266, 329, 333, 127, 168, 341, 162, 102, 68, 126, 66, 0, 103, 154, 232, 11, 352, 268, 228, 313, 221, 311, 317],
  [188, 182, 355, 68, 238, 232, 154, 240, 284, 100, 83, 277, 125, 71, 58, 53, 145, 103, 0, 127, 184, 92, 288, 204, 141, 289, 147, 229, 262],
  [150, 67, 204, 70, 155, 164, 282, 202, 201, 28, 186, 209, 36, 176, 97, 115, 220, 154, 127, 0, 88, 208, 249, 139, 177, 172, 169, 191, 131],
  [65, 42, 182, 137, 65, 85, 321, 111, 111, 95, 253, 140, 77, 233, 175, 167, 298, 232, 184, 88, 0, 281, 235, 110, 246, 100, 145, 97, 97],
  [341, 278, 435, 151, 366, 375, 298, 383, 412, 193, 162, 420, 225, 88, 117, 85, 77, 11, 92, 208, 281, 0, 363, 279, 239, 402, 232, 364, 376],
  [184, 271, 417, 239, 300, 249, 168, 216, 346, 241, 359, 294, 225, 337, 257, 299, 418, 352, 288, 249, 235, 363, 0, 121, 162, 345, 80, 182, 342],
  [67, 146, 292, 135, 175, 147, 249, 114, 221, 131, 275, 192, 115, 273, 173, 214, 334, 268, 204, 139, 110, 279, 121, 0, 193, 202, 71, 73, 218],
  [221, 251, 424, 137, 307, 301, 95, 257, 353, 169, 149, 346, 176, 179, 122, 138, 278, 228, 141, 177, 246, 239, 162, 193, 0, 332, 139, 216, 330],
  [169, 105, 116, 242, 57, 118, 437, 195, 72, 200, 379, 113, 208, 361, 279, 311, 379, 313, 289, 172, 100, 402, 345, 202, 332, 0, 265, 187, 58],
  [108, 191, 337, 165, 220, 188, 190, 124, 266, 161, 216, 233, 135, 244, 179, 169, 287, 221, 147, 169, 145, 232, 80, 71, 139, 265, 0, 124, 263],
  [45, 139, 273, 228, 121, 60, 314, 47, 168, 189, 329, 95, 154, 337, 249, 179, 377, 311, 229, 191, 97, 364, 182, 73, 216, 187, 124, 0, 199],
  [167, 79, 77, 205, 97, 185, 435, 232, 143, 163, 371, 230, 175, 369, 239, 264, 383, 317, 262, 131, 97, 376, 342, 218, 330, 58, 263, 199, 0]
];
 
 
